実質年度,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2011暦年連鎖価格、10億円),,,
"Real, Fiscal Year",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2011) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
Fiscal Year,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
1994/4-3.,"426,889.1 ","245,683.7 ","241,525.9 ","204,412.5 ","26,920.2 ","60,788.2 ",-512.4 ,"72,309.6 ","43,137.2 ",721.2 ,"-10,606.3 ","34,762.1 ","45,368.4 ","-11,552.5 ",,"19,152.4 ","446,041.4 ","3,802.2 ","14,738.2 ","10,936.0 ","449,843.6 ",,"446,414.9 ","331,638.4 ","114,933.2 ",,"127,861.1 ",,"426,529.9 ",,,
1995/4-3.,"440,974.2 ","251,970.1 ","247,606.3 ","209,677.3 ","25,393.1 ","66,179.5 ","1,442.9 ","74,780.5 ","46,217.6 ",377.0 ,"-15,675.0 ","36,215.3 ","51,890.3 ","-9,711.5 ",,"21,168.5 ","462,142.7 ","4,445.0 ","15,600.6 ","11,155.6 ","466,587.7 ",,"464,424.3 ","344,416.0 ","120,190.5 ",,"135,151.5 ",,"438,911.0 ",,,
1996/4-3.,"453,653.1 ","258,151.7 ","253,738.1 ","214,933.8 ","28,601.2 ","69,847.7 ","1,480.5 ","76,362.4 ","45,479.0 ",250.4 ,"-17,757.2 ","38,556.4 ","56,313.6 ","-8,762.5 ",,"19,530.5 ","473,183.6 ","5,944.4 ","11,704.3 ","5,759.8 ","479,128.1 ",,"478,354.8 ","357,439.8 ","120,958.0 ",,"141,215.8 ",,"451,613.3 ",,,
1997/4-3.,"453,794.6 ","255,781.6 ","251,423.5 ","211,941.4 ","23,423.0 ","71,870.7 ","3,388.2 ","77,174.7 ","42,477.0 ",272.2 ,"-13,120.9 ","41,992.1 ","55,113.0 ","-7,471.9 ",,"19,608.6 ","473,403.2 ","6,191.5 ","12,216.9 ","6,025.4 ","479,594.8 ",,"473,408.6 ","354,536.2 ","118,894.1 ",,"136,077.0 ",,"449,942.6 ",,,
1998/4-3.,"449,786.4 ","256,657.7 ","251,557.0 ","211,407.2 ","21,081.4 ","69,347.6 ",-13.3 ,"78,655.4 ","43,421.6 ",-211.0 ,"-11,108.4 ","40,405.5 ","51,513.9 ","-8,044.6 ",,"20,258.9 ","470,045.3 ","5,385.2 ","10,718.6 ","5,333.3 ","475,430.5 ",,"468,132.6 ","347,324.6 ","120,978.1 ",,"132,164.9 ",,"449,285.4 ",,,
1999/4-3.,"452,884.6 ","260,435.7 ","254,945.0 ","213,864.3 ","21,752.2 ","68,349.8 ","-2,985.5 ","81,524.0 ","43,152.5 ",-83.5 ,"-12,056.2 ","42,841.0 ","54,897.2 ","-7,204.4 ",,"20,100.3 ","472,984.9 ","6,092.4 ","10,065.6 ","3,973.3 ","479,077.3 ",,"471,205.8 ","347,772.4 ","123,692.6 ",,"131,438.3 ",,"455,018.1 ",,,
