year,ku,kun,party,party_code,mag,name,age,status,nocand,rank,wl,previous,vote,voteshare,eligible,turnout,exp,exppv,ldp,dpj
1996,aichi,1,NFP,8,1,"KAWAMURA, TAKASHI",47,1,7,1,1,2,66876,40,346774,49.2,9828097,28.34,0,0
1996,aichi,1,LDP,1,1,"IMAEDA, NORIO",72,2,7,2,0,3,42969,25.7,346774,49.2,9311555,26.85,1,0
1996,aichi,1,DPJ,3,1,"SATO, TAISUKE",53,1,7,3,0,2,33503,20.1,346774,49.2,9231284,26.62,0,1
1996,aichi,1,JCP,2,1,"IWANAKA, MIHOKO",43,0,7,4,0,0,22209,13.3,346774,49.2,2177203,6.28,0,0
1996,aichi,1,others,100,1,"ITO, MASAKO",51,0,7,5,0,0,616,0.4,346774,49.2,.,.,0,0
1996,aichi,1,kokuminto,22,1,"YAMADA, HIROSHIB",51,0,7,6,0,0,566,0.3,346774,49.2,.,.,0,0
1996,aichi,1,independent,99,1,"ASANO, KOSETSU",45,0,7,7,0,0,312,0.2,346774,49.2,.,.,0,0
1996,aichi,2,NFP,8,1,"AOKI, HIROYUKI",51,1,8,1,1,2,56101,32.9,338310,51.8,12940178,38.25,0,0
1996,aichi,2,LDP,1,1,"TANABE, HIROO",71,2,8,2,0,1,44938,26.4,338310,51.8,16512426,48.81,1,0
1996,aichi,2,DPJ,3,1,"FURUKAWA, MOTOHISA",30,0,8,3,2,1,43804,25.7,338310,51.8,11435567,33.8,0,1
1996,aichi,2,JCP,2,1,"ISHIYAMA, JYUNICHI",31,0,8,4,0,0,21337,12.5,338310,51.8,2128510,6.29,0,0
1996,aichi,2,jiyu-rengo,10,1,"FUJIWARA, MICHIKO",44,0,8,5,0,0,2670,1.6,338310,51.8,3270533,9.67,0,0
1996,aichi,2,others,100,1,"ISHIKAWA, KAZUMI",61,0,8,6,0,0,701,0.4,338310,51.8,.,.,0,0
1996,aichi,2,independent,99,1,"MURAMATSU, YOICHI",47,0,8,7,0,0,418,0.2,338310,51.8,.,.,0,0
1996,aichi,2,kokuminto,22,1,"YAMAZAKI, YOSHIAKI",43,0,8,8,0,0,348,0.2,338310,51.8,.,.,0,0
1996,aichi,3,NFP,8,1,"YOSHIDA, YUKIHIRO",35,0,7,1,1,1,52478,32.3,331808,50.4,11245219,33.89,0,0
1996,aichi,3,LDP,1,1,"KATAOKA, TAKESHI",46,1,7,2,0,3,43884,27,331808,50.4,5365436,16.17,1,0
1996,aichi,3,DPJ,3,1,"KONDO, SHOICHIA",38,0,7,3,2,1,38351,23.6,331808,50.4,11767342,35.46,0,1
1996,aichi,3,JCP,2,1,"YANAGIDA, SAEKO",50,0,7,4,0,0,26225,16.1,331808,50.4,2110540,6.36,0,0
1996,aichi,3,kokuminto,22,1,"NAKANO, YOKO",54,0,7,5,0,0,773,0.5,331808,50.4,.,.,0,0
1996,aichi,3,others,100,1,"OGAWA, OSAMU",35,0,7,6,0,0,722,0.4,331808,50.4,.,.,0,0
1996,aichi,3,independent,99,1,"ITO, TADAHIKO",43,0,7,7,0,0,246,0.2,331808,50.4,.,.,0,0
1996,aichi,4,NFP,8,1,"MISAWA, JUN",44,0,6,1,1,1,57361,35.7,315704,52,12134215,38.44,0,0
1996,aichi,4,LDP,1,1,"TSUKAMOTO, SABURO",69,2,6,2,0,10,48209,30,315704,52,13303388,42.14,1,0
1996,aichi,4,JCP,2,1,"SEKO, YUKIKO",49,0,6,3,2,1,30976,19.3,315704,52,3152034,9.98,0,0
1996,aichi,4,DPJ,3,1,"TAKAGI, HIROSHI",43,0,6,4,0,0,23411,14.6,315704,52,6461034,20.47,0,1
1996,aichi,4,kokuminto,22,1,"ITO, TAKAYOSHI",61,0,6,5,0,0,348,0.2,315704,52,.,.,0,0
1996,aichi,4,others,100,1,"SHIOKAWA, CHIKANAO",40,0,6,6,0,0,243,0.2,315704,52,.,.,0,0
1996,aichi,5,DPJ,3,1,"AKAMATSU, HIROTAKA",48,1,7,1,1,3,48648,30.9,319846,50.3,11894801,37.19,0,1
1996,aichi,5,LDP,1,1,"KIMURA, TAKAHIDE",41,0,7,2,2,1,46485,29.5,319846,50.3,5010946,15.67,1,0
1996,aichi,5,NFP,8,1,"BANNO, YUTAKA",35,0,7,3,0,0,43028,27.3,319846,50.3,9817826,30.7,0,0
1996,aichi,5,JCP,2,1,"NAGATOMO, TADAHIRO",37,0,7,4,0,0,17670,11.2,319846,50.3,2728093,8.53,0,0
1996,aichi,5,independent,99,1,"SUZUKI, TSUTOMU",63,0,7,5,0,0,768,0.5,319846,50.3,70000,0.22,0,0
1996,aichi,5,kokuminto,22,1,"ICHIKAWA, MINORU",56,0,7,6,0,0,470,0.3,319846,50.3,.,.,0,0
1996,aichi,5,others,100,1,"UCHIYAMA, TAKAO",43,0,7,7,0,0,335,0.2,319846,50.3,.,.,0,0
1996,aichi,6,NFP,8,1,"KUSAKAWA, SHOZO",68,1,8,1,1,8,90812,39.7,433930,54.2,11252336,25.93,0,0
1996,aichi,6,LDP,1,1,"ITO, KATSUNDO",51,0,8,2,0,0,59631,26.1,433930,54.2,10987232,25.32,1,0
1996,aichi,6,DPJ,3,1,"AMIOKA, YU",68,1,8,3,0,3,49074,21.5,433930,54.2,15156114,34.93,0,1
1996,aichi,6,JCP,2,1,"WATANABE, MASUMI",39,0,8,4,0,0,25815,11.3,433930,54.2,2227575,5.13,0,0
1996,aichi,6,kokuminto,22,1,"HARADA, ISAMU",46,0,8,5,0,0,1107,0.5,433930,54.2,.,.,0,0
1996,aichi,6,others,100,1,"MUMATSU, YOKO",52,0,8,6,0,0,966,0.4,433930,54.2,.,.,0,0
