id,sex,age,height,weight,income,generation
AU,male,70,159.6,58.3,201,elder
AY,female,70,156.5,44,487,elder
AB,male,69,172.7,75.7,424,elder
AM,male,67,166.5,69.3,"1,735",elder
M,male,66,171.2,76.5,929,elder
CM,female,66,163.5,67.3,397,elder
AU,male,65,162.6,41.5,764,elder
BU,female,65,163.1,53.5,135,elder
CR,female,65,161.1,46.8,613,elder
BV,female,64,157.7,52.7,26,middle
AF,male,63,174.5,68.2,241,middle
AJ,male,63,165.5,66.1,378,middle
I,male,62,160.2,68.2,109,middle
AN,male,62,171.4,71.1,337,middle
BH,female,62,158.8,57,64,middle
BN,female,62,158.4,61.9,128,middle
U,male,61,161.7,64.6,"2,351",middle
BW,female,61,157.3,43.7,714,middle
CC,female,61,155.4,62.4,698,middle
CO,female,61,159.1,46.5,403,middle
AZ,female,60,162.1,54.9,256,middle
BE,female,60,150.4,50,106,middle
CP,female,60,165.7,62.2,630,middle
W,male,59,174.4,68.7,299,middle
AC,male,58,173,63.9,831,middle
AI,male,57,164.1,63.5,151,middle
BK,female,56,151.2,33.2,316,middle
K,male,55,171.9,66.2,"1,838",middle
AP,male,55,169.3,61,505,middle
AR,male,53,171.7,85,644,middle
CT,female,53,166.2,64.2,"1,015",middle
A,male,52,174,63.1,348,middle
BO,female,52,158.7,50.5,324,middle
J,male,51,170.4,59.4,324,middle
AD,male,51,172.6,69.8,112,middle
AL,male,51,157.6,43.7,91,middle
AT,male,51,172.9,68.8,275,middle
BJ,female,51,158.5,46.6,814,middle
G,male,50,173.3,68.6,148,middle
R,male,50,163.3,47.3,231,middle
AA,male,50,158.1,46.9,494,middle
BC,female,50,169.4,59.5,72,middle
BS,female,50,168.9,67.2,204,middle
Q,male,49,169.1,78,"1,587",middle
AE,male,49,180.5,85.6,271,middle
CV,female,48,153.8,42,113,middle
P,male,47,161.6,44.8,157,middle
BP,female,47,158.6,56.2,187,middle
T,male,46,168.7,56.2,229,middle
Y,male,45,164.2,66.4,362,middle
AX,male,45,169.3,48.8,341,middle
BG,female,45,150.8,28.3,100,middle
CF,female,45,152.4,45.6,30,middle
CS,female,45,161.2,48.7,106,middle
AO,male,44,171.1,54.7,24,middle
AQ,male,44,171.8,66.4,390,middle
BD,female,43,150.1,49,608,middle
BR,female,43,162.4,67.2,894,middle
CG,female,43,162.3,63.9,379,middle
CK,female,43,152.8,49.8,69,middle
CU,female,43,158.1,48.5,829,middle
N,male,42,175,84.4,"1,198",middle
BF,female,42,167.7,66.5,373,middle
BX,female,42,160,45.5,96,middle
AG,male,40,170.8,55.5,278,middle
BM,female,40,153.4,37.3,352,middle
CB,female,40,155,59.8,131,middle
S,male,39,179,67.4,"1,316",young
CE,female,39,169.9,65.1,185,young
AH,male,38,167,81.9,245,young
AW,male,38,165.8,53.6,"1,658",young
BA,female,38,148.4,32,810,young
BL,female,38,158.6,66.8,341,young
F,male,37,159.3,57.8,298,young
L,male,36,159.6,54.5,42,young
O,male,36,177.9,79.1,140,young
BY,female,36,164.9,67.1,"1,259",young
BQ,female,35,150.6,60.1,31,young
CH,female,35,148,33.1,651,young
CD,female,34,159.4,44.9,65,young
B,male,33,175.3,70.2,46,young
D,male,33,170.1,81.8,607,young
BI,female,33,162.7,55.7,335,young
BX,female,33,156.6,63.5,245,young
V,male,31,172.7,60.9,515,young
H,male,30,162.5,47.2,103,young
CL,female,30,156.1,45,304,young
AS,male,29,177.6,77.1,232,young
BT,female,29,157.4,57,148,young
CA,female,27,166.5,71.5,420,young
CN,female,27,158.1,66.9,80,young
E,male,26,167.4,51.2,108,young
CJ,female,26,161,57.3,685,young
BA,female,23,154.7,36,"1,382",young
C,male,22,175,82.6,163,young
AK,male,22,155.8,67.5,199,young
X,male,21,167.3,71.1,147,young
Z,male,21,171.7,71.5,69,young
CQ,female,21,165.4,56.3,134,young
CI,female,20,157.1,55.6,211,young
