date,week,average,max,min
2021/4/1,–Ø,16.6,21.7,13.6
2021/4/2,‹à,16,19.9,13.4
2021/4/3,“y,16.9,22.3,11.8
2021/4/4,“ú,18.5,23.3,15.7
2021/4/5,ŒŽ,12.9,17.2,8.5
2021/4/6,‰Î,10.6,15.7,6.4
2021/4/7,…,13.3,19.6,7.9
2021/4/8,–Ø,13.3,18.1,9.6
2021/4/9,‹à,11.9,18.3,7.2
2021/4/10,“y,10.4,16.3,6.8
2021/4/11,“ú,12.5,18.6,6.5
2021/4/12,ŒŽ,14.4,20.8,9.1
2021/4/13,‰Î,15.7,20.1,12.1
2021/4/14,…,15.3,19.2,7.6
2021/4/15,–Ø,10.7,16.5,6
2021/4/16,‹à,13.7,19.1,8.2
2021/4/17,“y,15.7,18.7,14
2021/4/18,“ú,16.4,22,12.1
2021/4/19,ŒŽ,15.8,21.9,11
2021/4/20,‰Î,17.2,24.5,10.6
2021/4/21,…,19.1,25.2,13.8
2021/4/22,–Ø,18.1,26.2,11.3
2021/4/23,‹à,13.8,20.4,9
2021/4/24,“y,15.3,21.6,8.9
2021/4/25,“ú,16.9,23.2,12.3
2021/4/26,ŒŽ,13.4,19.4,8.9
2021/4/27,‰Î,14.6,20.4,8.2
2021/4/28,…,18.2,23.8,10.7
2021/4/29,–Ø,17.2,18.8,16
2021/4/30,‹à,18.8,24.2,12.7
2021/5/1,“y,17.7,24.1,12.5
2021/5/2,“ú,16.3,23.5,12.5
2021/5/3,ŒŽ,16.4,22.8,11.4
2021/5/4,‰Î,18,24.5,10.9
2021/5/5,…,18.3,22.1,14
2021/5/6,–Ø,18.5,24.4,15.6
2021/5/7,‹à,17.5,20.5,15.3
2021/5/8,“y,19.5,24.9,12.9
2021/5/9,“ú,23,28.5,17.6
2021/5/10,ŒŽ,20.2,25.1,16.1
2021/5/11,‰Î,17.5,19.9,15
2021/5/12,…,17.9,21.2,15.3
2021/5/13,–Ø,16.1,18.2,14.4
2021/5/14,‹à,20.8,26.9,15.9
2021/5/15,“y,21.2,26.4,17.1
2021/5/16,“ú,20,22.4,18.3
2021/5/17,ŒŽ,23,25,19.8
2021/5/18,‰Î,20.5,22.8,16.6
2021/5/19,…,17.2,18.4,16.1
2021/5/20,–Ø,19.1,22.3,16.2
2021/5/21,‹à,21.7,25.2,16.8
2021/5/22,“y,20,23.4,17.5
2021/5/23,“ú,19.6,25.4,15
2021/5/24,ŒŽ,22.1,28,16.4
2021/5/25,‰Î,22.4,28.9,17
2021/5/26,…,21.1,26,16.9
2021/5/27,–Ø,16.9,20.3,15.5
2021/5/28,‹à,20.5,26.1,15
2021/5/29,“y,22.8,28.3,18.3
2021/5/30,“ú,21.2,26.8,17.8
2021/5/31,ŒŽ,20.6,25.2,16.4
2021/6/1,‰Î,20.1,25.7,15.1
2021/6/2,…,22,26.4,19
2021/6/3,–Ø,22.1,27.4,18.1
2021/6/4,‹à,21,23.9,19.3
2021/6/5,“y,22.1,26.7,19.1
2021/6/6,“ú,21.7,24,19.5
2021/6/7,ŒŽ,23.4,29.7,19.7
2021/6/8,‰Î,24.8,31.4,18.8
2021/6/9,…,24.5,31.1,19.5
2021/6/10,–Ø,24.1,30.7,19
2021/6/11,‹à,23.7,29.4,20.6
2021/6/12,“y,23.3,28.1,19.5
2021/6/13,“ú,24.3,28.1,21.2
2021/6/14,ŒŽ,21,23.7,19
2021/6/15,‰Î,23.4,29.5,18.8
2021/6/16,…,22.2,24.9,20.6
2021/6/17,–Ø,21.8,26.7,18.9
2021/6/18,‹à,22.8,27.4,18.5
2021/6/19,“y,20.3,23.1,19.2
2021/6/20,“ú,22.8,28.6,19.5
2021/6/21,ŒŽ,22.9,27.9,19.6
2021/6/22,‰Î,23.1,28.6,19.1
2021/6/23,…,22,25.6,20.6
2021/6/24,–Ø,22.8,27.2,19.1
2021/6/25,‹à,23.3,27.5,20.7
2021/6/26,“y,24.2,28.4,20.5
2021/6/27,“ú,23.7,26.7,21.6
2021/6/28,ŒŽ,24.4,29.6,20.1
2021/6/29,‰Î,21.9,28.4,18.8
2021/6/30,…,20.6,23.1,18.4
2021/7/1,–Ø,20.9,22.9,20.1
2021/7/2,‹à,21.2,22.2,20.3
2021/7/3,“y,22.2,25.8,20.5
2021/7/4,“ú,20.1,21.1,19.3
2021/7/5,ŒŽ,22.1,25.1,19.9
2021/7/6,‰Î,24.7,29.6,22
2021/7/7,…,25.8,30,22.9
2021/7/8,–Ø,23.7,24.8,22.3
2021/7/9,‹à,23.5,24.9,22.2
2021/7/10,“y,27,33.4,22.7
2021/7/11,“ú,24.7,31.8,21.2
2021/7/12,ŒŽ,25.8,31.6,21
2021/7/13,‰Î,25.5,29,23.4
2021/7/14,…,25.3,28.8,22.8
2021/7/15,–Ø,26.4,31.1,23
2021/7/16,‹à,27.7,33.2,24.1
2021/7/17,“y,27.4,32.6,23.5
2021/7/18,“ú,28.1,33.2,23.7
2021/7/19,ŒŽ,29.2,34.7,25.1
2021/7/20,‰Î,28.8,34,25.6
2021/7/21,…,28.4,33.6,24.3
2021/7/22,–Ø,28.4,34.2,24.1
2021/7/23,‹à,28.4,34,24.6
2021/7/24,“y,28.5,34.4,25.3
2021/7/25,“ú,28.5,34.4,24.7
2021/7/26,ŒŽ,27.5,32.1,24.6
2021/7/27,‰Î,24.9,29.8,21.3
2021/7/28,…,27.7,32,23.9
2021/7/29,–Ø,27.8,32.1,24.3
2021/7/30,‹à,25.8,30.5,23.9
2021/7/31,“y,27.5,32.5,23.3
2021/8/1,“ú,28.7,33.7,24.2
2021/8/2,ŒŽ,28.6,33.1,25.6
2021/8/3,‰Î,29,32.9,25.7
2021/8/4,…,29.5,34.5,25.7
2021/8/5,–Ø,29.1,34.7,24
2021/8/6,‹à,29.1,34.8,24.6
2021/8/7,“y,27.9,31.4,26.3
2021/8/8,“ú,25.9,28.8,24.7
2021/8/9,ŒŽ,28.1,31.3,25.6
2021/8/10,‰Î,31,36.8,27.2
2021/8/11,…,29.2,33.5,25.9
2021/8/12,–Ø,26,29.2,23.9
2021/8/13,‹à,22.5,25.4,20.5
